country,site_code,survey,indicator_condensed,number_questions,questions
Indonesia,GILIMAT,Community Support,Communication,4,"1: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (13) In the last 6 months, Mr / Ms spoke with other fishermen about: (B) compliance with applicable agreements within the territory of the fishery access area; Response: [] Yes [] No [] Do not remember; 2: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (11) In the last 6 months, I talked with fellow fishermen about: (A) benefits gained from the management of the fishery area access; Response: [] Yes [] No [] Do not remember; 3: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (11) In the last 6 months, I talked with fellow fishermen about: (C) ways of monitoring and reporting violations of rules in the area of access of the fishing area; Response: [] Yes [] No [] Do not remember; 4: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement.(12) For me,(F) invites fellow fishermen to comply with the management rules of fisheries area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult"
Indonesia,GILIMAT,Community Support,Knowledge,4,"1: [Question: (19) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about the size of the catch in the area of ​​access area and do not think to find out [] I do not know the catch size rules in the area of ​​access area but in the near future it is thought to find out [] I already know the size of the catch allowed in the region Access area and in the near future think to do it [] I have caught fish with the size of fish catch according to the rules in the area of ​​access area, and have been doing it for less than 6 months [] I have captured the size of the fish according to the rules of area access area and have done it in 6 Months or more; 2: [Question: (18) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about fishing gear allowed in the area of ​​access area and do not think to find out [] I do not know the rules of fishing gear are allowed in the area of ​​access area but in the near future thought to find out [] I already know fishing gear Which is allowed in the area of ​​access area and in the near future it is thought to do it [] I have been using the type of fishing gear according to the rules in the area of ​​access area, for less than 6 months [] I have used the type of fishing gear that match the rules of area access area, 6 months or more; 3: [Question: (A) Based on the location of the above mentioned fishing / fowl, please Mr / Mrs choose the statement that best describes you right now; Response: [] I do not know the designation rules for this area and do not think to find out [] I do not know the designation rules for this area but have been thinking about finding out [] I am not implementing the designation rules for this area but in the near future I think to do it [] I have followed the designation rules for this area, but only implemented it for less than 6 months [] I have followed the rules of the designation of this area and have done so in 6 months or more; 4: [Question: (20) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules of the number of guests / trips allowed in the territory of the fishery area and do not think to find out [] I do not know the rules of the number of guests / trips allowed in the fishery area access area but in the near future it is thought to find out [] I already know the rules of the number of guests / trips allowed in the fishing area access area and in the near future it is thought to do it [] I already know about the number of guests / trips allowed in the fishing area access area, and have done it less than 6 months [] I Already know about the rules of the number of guests / trips allowed in the fishing area access areas and have done so in 6 months or more"
Indonesia,GILIMAT,Sustainable Fishing Practices,TURF Compliance,2,"1: [Question: Here's what you want to do, 'Somewhat sure to be able to do', 'Doubtful', 'Somewhat unsure of being able to do', 'Unsure able to do' the following statements.(15) ÿÿ9 I feel, ÿÿ1 (B) catch fish according to the rules in the area of ​​fishery access area; Response: [] Sure able to do [] Somewhat sure able to do [] Hesitant [] Somewhat unsure able to do [] Not sure able to do; 2: [Question: Here's what you want to do, 'Somewhat sure to be able to do', 'Doubtful', 'Somewhat unsure of being able to do', 'Unsure able to do' the following statements.(15) ÿÿ9 I feel, ÿÿ1 (C) using the type of fishing gear permitted in the area of ​​fishery access area; Response: [] Sure able to do [] Somewhat sure able to do [] Hesitant [] Somewhat unsure able to do [] Not sure able to do"
Indonesia,KAIMANA,Community Support,Attitude,9,"1: [Question: (14) ÿÿ9For me, obey the rules of access management of the fishery areaÿÿ1 ) can not be done because there is no firmness against rule violators; Response: [] Agree [] Disagree [] Do not know; 2: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (A) is a form of responsibility as a fisherman in the region; Response: [] Agree [] Disagree [] Do not know; 3: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (B) ensuring the continuation of my family's life in the future; Response: [] Agree [] Disagree [] Do not know; 4: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (C) maintaining the availability of fish and other marine resources for a long time; Response: [] Agree [] Disagree [] Do not know; 5: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (D) preserves the traditions of life as fishermen from generation to generation; Response: [] Agree [] Disagree [] Do not know; 6: [Question: (12) For me,(B) complies with the rules of access management of the fishing area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 7: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (A) not to fish in the no-take area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 8: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (E) report a violation of the rules in the area of access of the fishery area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 9: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (D) report the catch; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult"
Indonesia,KAIMANA,Community Support,Communication,4,"1: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (13) In the last 6 months, Mr / Ms spoke with other fishermen about: (B) compliance with applicable agreements within the territory of the fishery access area; Response: [] Yes [] No [] Do not remember; 2: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (11) In the last 6 months, I talked with fellow fishermen about: (A) benefits gained from the management of the fishery area access; Response: [] Yes [] No [] Do not remember; 3: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (11) In the last 6 months, I talked with fellow fishermen about: (C) ways of monitoring and reporting violations of rules in the area of access of the fishing area; Response: [] Yes [] No [] Do not remember; 4: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement.(12) For me,(F) invites fellow fishermen to comply with the management rules of fisheries area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult"
Indonesia,KAIMANA,Community Support,Knowledge,4,"1: [Question: (19) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about the size of the catch in the area of ​​access area and do not think to find out [] I do not know the catch size rules in the area of ​​access area but in the near future it is thought to find out [] I already know the size of the catch allowed in the region Access area and in the near future think to do it [] I have caught fish with the size of fish catch according to the rules in the area of ​​access area, and have been doing it for less than 6 months [] I have captured the size of the fish according to the rules of area access area and have done it in 6 Months or more; 2: [Question: (18) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about fishing gear allowed in the area of ​​access area and do not think to find out [] I do not know the rules of fishing gear are allowed in the area of ​​access area but in the near future thought to find out [] I already know fishing gear Which is allowed in the area of ​​access area and in the near future it is thought to do it [] I have been using the type of fishing gear according to the rules in the area of ​​access area, for less than 6 months [] I have used the type of fishing gear that match the rules of area access area, 6 months or more; 3: [Question: (A) Based on the location of the above mentioned fishing / fowl, please Mr / Mrs choose the statement that best describes you right now; Response: [] I do not know the designation rules for this area and do not think to find out [] I do not know the designation rules for this area but have been thinking about finding out [] I am not implementing the designation rules for this area but in the near future I think to do it [] I have followed the designation rules for this area, but only implemented it for less than 6 months [] I have followed the rules of the designation of this area and have done so in 6 months or more; 4: [Question: (20) For the following statement, please choose the one that best describes you right now; Response: [] I have never been involved in surveillance of the territory of the fisheries access area and have not thought of doing it [] I have never been involved in surveillance of area access areas and thought to find out [] I was thinking of being involved in the monitoring of area access areas, in the near future [] I Has been involved in the supervision of area access areas, less than 6 months [] I have been involved in the supervision of the area of ​​access to the fishing area, within 6 months or more"
Indonesia,KAIMANA,Sustainable Fishing Practices,TURF Compliance,2,"1: [Question: Here's what you want to do, 'Somewhat sure to be able to do', 'Doubtful', 'Somewhat unsure of being able to do', 'Unsure able to do' the following statements.(15) ÿÿ9 I feel, ÿÿ1 (B) catch fish according to the rules in the area of ​​fishery access area; Response: [] Sure able to do [] Somewhat sure able to do [] Hesitant [] Somewhat unsure able to do [] Not sure able to do; 2: [Question: Here's what you want to do, 'Somewhat sure to be able to do', 'Doubtful', 'Somewhat unsure of being able to do', 'Unsure able to do' the following statements.(15) ÿÿ9 I feel, ÿÿ1 (C) using the type of fishing gear permitted in the area of ​​fishery access area; Response: [] Sure able to do [] Somewhat sure able to do [] Hesitant [] Somewhat unsure able to do [] Not sure able to do"
Indonesia,KARIMUN,Community Support,Attitude,5,"1: [Question: (12) For me,(B) complies with the rules of access management of the fishing area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 2: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (A) not to fish in the no-take area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 3: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (C) engage in processes and discussions for the management rules of the fishery area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 4: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (E) report a violation of the rules in the area of access of the fishery area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 5: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (D) report the catch; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult"
Indonesia,KARIMUN,Community Support,Communication,6,"1: [Question: (9) In the last 6 months, Mr / Ms talked with other fishermen about:(E) does not catch sunu size less than 35 cm; Response: [] Yes [] No [] Do not remember; 2: [Question: (9) In the last 6 months, Mr / Ms talked with other fishermen about:(C) does not shoot fish on 18-28 Hijriah every month; Response: [] Yes [] No [] Do not remember; 3: [Question: (9) In the last 6 months, Mr / Ms talked with other fishermen about:(D) do not throw garbage into the sea; Response: [] Yes [] No [] Do not remember; 4: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (11) In the last 6 months, I talked with fellow fishermen about: (A) benefits gained from the management of the fishery area access; Response: [] Yes [] No [] Do not remember; 5: [Question: (9) In the last 6 months, Mr / Ms talked with other fishermen about: (B) does not catch fish in tourism utilization zones; Response: [] Yes [] No [] Do not remember; 6: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement.(12) For me,(F) invites fellow fishermen to comply with the management rules of fisheries area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult"
Indonesia,KARIMUN,Community Support,Knowledge,3,"1: [Question: (19) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about the size of the catch in the area of ​​access area and do not think to find out [] I do not know the catch size rules in the area of ​​access area but in the near future it is thought to find out [] I already know the size of the catch allowed in the region Access area and in the near future think to do it [] I have caught fish with the size of fish catch according to the rules in the area of ​​access area, and have been doing it for less than 6 months [] I have captured the size of the fish according to the rules of area access area and have done it in 6 Months or more; 2: [Question: (18) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about fishing gear allowed in the area of ​​access area and do not think to find out [] I do not know the rules of fishing gear are allowed in the area of ​​access area but in the near future thought to find out [] I already know fishing gear Which is allowed in the area of ​​access area and in the near future it is thought to do it [] I have been using the type of fishing gear according to the rules in the area of ​​access area, for less than 6 months [] I have used the type of fishing gear that match the rules of area access area, 6 months or more; 3: [Question: (20) For the following statement, please choose the one that best describes you right now; Response: [] I have never been involved in surveillance of the territory of the fisheries access area and have not thought of doing it [] I have never been involved in surveillance of area access areas and thought to find out [] I was thinking of being involved in the monitoring of area access areas, in the near future [] I Has been involved in the supervision of area access areas, less than 6 months [] I have been involved in the supervision of the area of ​​access to the fishing area, within 6 months or more"
Indonesia,KARIMUN,Sustainable Fishing Practices,TURF Compliance,3,"1: [Question: (9) In the last 6 months, Mr / Ms talked with other fishermen about:(E) does not catch sunu size less than 35 cm; Response: [] Yes [] No [] Do not remember; 2: [Question: (9) In the last 6 months, Mr / Ms talked with other fishermen about:(D) do not throw garbage into the sea; Response: [] Yes [] No [] Do not remember; 3: [Question: (9) In the last 6 months, Mr / Ms talked with other fishermen about:(C) does not shoot fish on 18-28 Hijriah every month; Response: [] Yes [] No [] Do not remember"
Indonesia,KOLONOB,Community Support,Attitude,10,"1: [Question: (14) ÿÿ9For me, obey the rules of access management of the fishery areaÿÿ1 ) can not be done because there is no firmness against rule violators; Response: [] Agree [] Disagree [] Do not know; 2: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (A) is a form of responsibility as a fisherman in the region; Response: [] Agree [] Disagree [] Do not know; 3: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (B) ensuring the continuation of my family's life in the future; Response: [] Agree [] Disagree [] Do not know; 4: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (C) maintaining the availability of fish and other marine resources for a long time; Response: [] Agree [] Disagree [] Do not know; 5: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (D) preserves the traditions of life as fishermen from generation to generation; Response: [] Agree [] Disagree [] Do not know; 6: [Question: (12) For me,(B) complies with the rules of access management of the fishing area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 7: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (A) not to fish in the no-take area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 8: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (C) engage in processes and discussions for the management rules of the fishery area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 9: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (E) report a violation of the rules in the area of access of the fishery area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 10: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (D) report the catch; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult"
Indonesia,KOLONOB,Community Support,Communication,4,"1: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (13) In the last 6 months, Mr / Ms spoke with other fishermen about: (B) compliance with applicable agreements within the territory of the fishery access area; Response: [] Yes [] No [] Do not remember; 2: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (11) In the last 6 months, I talked with fellow fishermen about: (A) benefits gained from the management of the fishery area access; Response: [] Yes [] No [] Do not remember; 3: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (11) In the last 6 months, I talked with fellow fishermen about: (C) ways of monitoring and reporting violations of rules in the area of access of the fishing area; Response: [] Yes [] No [] Do not remember; 4: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement.(12) For me,(F) invites fellow fishermen to comply with the management rules of fisheries area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult"
Indonesia,KOLONOB,Community Support,Knowledge,4,"1: [Question: (19) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about the size of the catch in the area of ​​access area and do not think to find out [] I do not know the catch size rules in the area of ​​access area but in the near future it is thought to find out [] I already know the size of the catch allowed in the region Access area and in the near future think to do it [] I have caught fish with the size of fish catch according to the rules in the area of ​​access area, and have been doing it for less than 6 months [] I have captured the size of the fish according to the rules of area access area and have done it in 6 Months or more; 2: [Question: (18) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about fishing gear allowed in the area of ​​access area and do not think to find out [] I do not know the rules of fishing gear are allowed in the area of ​​access area but in the near future thought to find out [] I already know fishing gear Which is allowed in the area of ​​access area and in the near future it is thought to do it [] I have been using the type of fishing gear according to the rules in the area of ​​access area, for less than 6 months [] I have used the type of fishing gear that match the rules of area access area, 6 months or more; 3: [Question: (A) Based on the location of the above mentioned fishing / fowl, please Mr / Mrs choose the statement that best describes you right now; Response: [] I do not know the designation rules for this area and do not think to find out [] I do not know the designation rules for this area but have been thinking about finding out [] I am not implementing the designation rules for this area but in the near future I think to do it [] I have followed the designation rules for this area, but only implemented it for less than 6 months [] I have followed the rules of the designation of this area and have done so in 6 months or more; 4: [Question: (20) For the following statement, please choose the one that best describes you right now; Response: [] I have never been involved in surveillance of the territory of the fisheries access area and have not thought of doing it [] I have never been involved in surveillance of area access areas and thought to find out [] I was thinking of being involved in the monitoring of area access areas, in the near future [] I Has been involved in the supervision of area access areas, less than 6 months [] I have been involved in the supervision of the area of ​​access to the fishing area, within 6 months or more"
Indonesia,KOLONOB,Sustainable Fishing Practices,Management Participation,2,"1: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement.(12) For me,(C) engage in processes and discussions for the management rules of the fishery area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 2: [Question: Is the head of household or his wife/her husband member in an association? Where/ Which one?; Response: head of household? Fishing / agricultural association?"
Indonesia,KOLONOB,Sustainable Fishing Practices,TURF Compliance,6,"1: [Question: Here's what you want to do, 'Somewhat sure to be able to do', 'Doubtful', 'Somewhat unsure of being able to do', 'Unsure able to do' the following statements.(15) ÿÿ9 I feel, ÿÿ1 (B) catch fish according to the rules in the area of ​​fishery access area; Response: [] Sure able to do [] Somewhat sure able to do [] Hesitant [] Somewhat unsure able to do [] Not sure able to do; 2: [Question: Here's what you want to do, 'Somewhat sure to be able to do', 'Doubtful', 'Somewhat unsure of being able to do', 'Unsure able to do' the following statements.(15) ÿÿ9 I feel, ÿÿ1 (C) using the type of fishing gear permitted in the area of ​​fishery access area; Response: [] Sure able to do [] Somewhat sure able to do [] Hesitant [] Somewhat unsure able to do [] Not sure able to do; 3: [Question: How often do you think your local fishermen comply with the local fishing rules?; Response: Always	Most of the times	Half of the times	Sometimes	Never
; 4: [Question: How often do you think your local fishermen comply with the rules of the TURF?; Response: Always	Most of the times	Half of the times	Sometimes	Never
; 5: [Question: How often do you comply with the local fishing rules?; Response: Always	Most of the times	Half of the times	Sometimes	Never
; 6: [Question: How often do you comply with the rules of the TURF?; Response: Always	Most of the times	Half of the times	Sometimes	Never
"
Indonesia,KOLONOB,Sustainable Livelihoods,Catch Trend 1 Year,2,"1: [Question: (E) In 1 month, how did your catch compare to the same month last year?; Response: [] Same [] More [] More and more bigger [] Less [] Uncertain [] Do not remember / do not know; 2: [Question: The fish catch has …..compared to 1 year ago; Response: Improved heavily, improved slightly, stayed the same, deteriorated slightly, deteriorated a lot"
Indonesia,KOLONOB,Sustainable Livelihoods,Food Security,3,"1: [Question: In the past 12 months did you ever reduce the size of your children meals or let your children skip meals because there wasn’t enough food to eat?; Response: [ ] Yes [ ] No [ ] No Answer; 2: [Question: Was the last year a good, normal or bad year for you in terms of food available; Response: Good, normal, bad; 3: [Question: In the past 12 months did you ever reduce the size of your meals or skip meals because there wasn’t enough food to eat?; Response: [ ] Yes [ ] No [ ] No Answer"
Indonesia,SABANG_,Community Support,Attitude,10,"1: [Question: (14) ÿÿ9For me, obey the rules of access management of the fishery areaÿÿ1 ) can not be done because there is no firmness against rule violators; Response: [] Agree [] Disagree [] Do not know; 2: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (A) is a form of responsibility as a fisherman in the region; Response: [] Agree [] Disagree [] Do not know; 3: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (B) ensuring the continuation of my family's life in the future; Response: [] Agree [] Disagree [] Do not know; 4: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (C) maintaining the availability of fish and other marine resources for a long time; Response: [] Agree [] Disagree [] Do not know; 5: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (D) preserves the traditions of life as fishermen from generation to generation; Response: [] Agree [] Disagree [] Do not know; 6: [Question: (12) For me,(B) complies with the rules of access management of the fishing area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 7: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (A) not to fish in the no-take area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 8: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (C) engage in processes and discussions for the management rules of the fishery area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 9: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (E) report a violation of the rules in the area of access of the fishery area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 10: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (D) report the catch; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult"
Indonesia,SABANG_,Community Support,Communication,4,"1: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (13) In the last 6 months, Mr / Ms spoke with other fishermen about: (B) compliance with applicable agreements within the territory of the fishery access area; Response: [] Yes [] No [] Do not remember; 2: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (11) In the last 6 months, I talked with fellow fishermen about: (A) benefits gained from the management of the fishery area access; Response: [] Yes [] No [] Do not remember; 3: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (11) In the last 6 months, I talked with fellow fishermen about: (C) ways of monitoring and reporting violations of rules in the area of access of the fishing area; Response: [] Yes [] No [] Do not remember; 4: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement.(12) For me,(F) invites fellow fishermen to comply with the management rules of fisheries area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult"
Indonesia,SABANG_,Community Support,Knowledge,4,"1: [Question: (19) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about the size of the catch in the area of ​​access area and do not think to find out [] I do not know the catch size rules in the area of ​​access area but in the near future it is thought to find out [] I already know the size of the catch allowed in the region Access area and in the near future think to do it [] I have caught fish with the size of fish catch according to the rules in the area of ​​access area, and have been doing it for less than 6 months [] I have captured the size of the fish according to the rules of area access area and have done it in 6 Months or more; 2: [Question: (18) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about fishing gear allowed in the area of ​​access area and do not think to find out [] I do not know the rules of fishing gear are allowed in the area of ​​access area but in the near future thought to find out [] I already know fishing gear Which is allowed in the area of ​​access area and in the near future it is thought to do it [] I have been using the type of fishing gear according to the rules in the area of ​​access area, for less than 6 months [] I have used the type of fishing gear that match the rules of area access area, 6 months or more; 3: [Question: (A) Based on the location of the above mentioned fishing / fowl, please Mr / Mrs choose the statement that best describes you right now; Response: [] I do not know the designation rules for this area and do not think to find out [] I do not know the designation rules for this area but have been thinking about finding out [] I am not implementing the designation rules for this area but in the near future I think to do it [] I have followed the designation rules for this area, but only implemented it for less than 6 months [] I have followed the rules of the designation of this area and have done so in 6 months or more; 4: [Question: (20) For the following statement, please choose the one that best describes you right now; Response: [] I have never been involved in surveillance of the territory of the fisheries access area and have not thought of doing it [] I have never been involved in surveillance of area access areas and thought to find out [] I was thinking of being involved in the monitoring of area access areas, in the near future [] I Has been involved in the supervision of area access areas, less than 6 months [] I have been involved in the supervision of the area of ​​access to the fishing area, within 6 months or more"
Indonesia,SABANG_,Sustainable Fishing Practices,TURF Compliance,2,"1: [Question: Here's what you want to do, 'Somewhat sure to be able to do', 'Doubtful', 'Somewhat unsure of being able to do', 'Unsure able to do' the following statements.(15) ÿÿ9 I feel, ÿÿ1 (B) catch fish according to the rules in the area of ​​fishery access area; Response: [] Sure able to do [] Somewhat sure able to do [] Hesitant [] Somewhat unsure able to do [] Not sure able to do; 2: [Question: Here's what you want to do, 'Somewhat sure to be able to do', 'Doubtful', 'Somewhat unsure of being able to do', 'Unsure able to do' the following statements.(15) ÿÿ9 I feel, ÿÿ1 (C) using the type of fishing gear permitted in the area of ​​fishery access area; Response: [] Sure able to do [] Somewhat sure able to do [] Hesitant [] Somewhat unsure able to do [] Not sure able to do"
Indonesia,SERIBU_,Community Support,Attitude,10,"1: [Question: Here, please tell me whether 'Agreed', 'Disagree', 'Do not know' to the statement below (12) For you to obey the PAAP agreement (A) Make the sea awake; Response: [] Agree [] Disagree [] Do not know; 2: [Question: Here, please tell me whether 'Agreed', 'Disagree', 'Do not know' to the statement below (12) For you to obey the PAAP agreement (B) Then the catch is getting more, the income increases; Response: [] Agree [] Disagree [] Do not know; 3: [Question: Here, please tell me whether 'Agreed', 'Disagree', 'Do not know' to the statement below (12) For you to obey the PAAP agreement (C) Will benefit fishing fishermen; Response: [] Agree [] Disagree [] Do not know; 4: [Question: (13) For you, Obey the PAAP agreement (D) Causing social conflict; Response: [] Agree [] Disagree [] Do not know; 5: [Question: 10) ÿÿ9 In the last 6 months, you talked to your fellow fishermen about: ÿÿ1 (A) Benefits derived from PAAP locations; Response: [] Yes [] No [] Do not remember; 6: [Question: (12) For me,(B) complies with the rules of access management of the fishing area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 7: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (A) not to fish in the no-take area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 8: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (C) engage in processes and discussions for the management rules of the fishery area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 9: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (E) report a violation of the rules in the area of access of the fishery area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 10: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (D) report the catch; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult"
